,AQM_HUABAO_Enhanced_50,AQM_HUABAO_50,Benchmark_50
2018/5/23,1.220768954,1.199675594,1.140294111
2018/5/24,1.22058605,1.199714143,1.139884423
2018/5/25,1.219538344,1.198416614,1.139338266
2018/5/29,1.21311826,1.193052685,1.135644935
2018/5/30,1.21933655,1.200168833,1.137269489
2018/5/31,1.218320872,1.196398994,1.136258182
2018/6/1,1.220899122,1.202253023,1.139336124
2018/6/4,1.224768154,1.205166023,1.142838632
2018/6/5,1.228520671,1.20656137,1.142372803
2018/6/6,1.23365447,1.211091098,1.145795193
2018/6/7,1.231414982,1.209646995,1.14707754
2018/6/8,1.231475769,1.210592582,1.146010631
2018/6/11,1.23121228,1.212429792,1.14746308
2018/6/12,1.234164297,1.213200687,1.14800076
2018/6/13,1.232145481,1.211803427,1.145784752
2018/6/14,1.23378683,1.214764863,1.146587901
2018/6/15,1.230193951,1.212803726,1.144273143
2018/6/18,1.228297925,1.211733166,1.141393982
2018/6/19,1.223672333,1.208957202,1.136883857
2018/6/20,1.227092396,1.210856394,1.138253929
2018/6/21,1.222109282,1.206105321,1.134693916
2018/6/22,1.224857234,1.207794042,1.137440485
2018/6/25,1.217608958,1.198052923,1.129188164
2018/6/26,1.217632363,1.199744947,1.129715759
2018/6/27,1.207787954,1.193772513,1.126978513
2018/6/28,1.209456626,1.196581284,1.126995472
2018/6/29,1.213787662,1.197876267,1.1312511
2018/7/2,1.212935299,1.19818961,1.128234261
2018/7/3,1.213099832,1.19699893,1.128986371
2018/7/5,1.215163334,1.203105095,1.132681534
2018/7/6,1.220556683,1.209112692,1.138235913
2018/7/9,1.228038136,1.214394838,1.143453896
2018/7/10,1.229500798,1.215198382,1.144555932
2018/7/11,1.22167162,1.209662617,1.139666871
2018/7/12,1.230722144,1.216127194,1.143574514
2018/7/13,1.233286998,1.216762923,1.145693458
2018/7/16,1.232417116,1.21557773,1.144206814
2018/7/17,1.235022598,1.21772075,1.145525792
2018/7/18,1.234593142,1.21851193,1.146262145
2018/7/19,1.231905839,1.21697417,1.144591861
2018/7/20,1.234658798,1.216800305,1.145116312
2018/7/23,1.232381632,1.216626169,1.14338589
2018/7/24,1.237233176,1.218709097,1.147927043
2018/7/25,1.244022602,1.224808182,1.151751346
2018/7/26,1.23836669,1.221881107,1.15103411
2018/7/27,1.235517224,1.21757993,1.150157198
2018/7/30,1.231185891,1.213576588,1.147698837
2018/7/31,1.234066927,1.21743757,1.149295897
2018/8/1,1.231860132,1.216680684,1.14726893
2018/8/2,1.231162685,1.219495987,1.145949058
2018/8/3,1.235129091,1.221835553,1.149423503
2018/8/6,1.234431163,1.223879131,1.150307905
2018/8/7,1.237658222,1.225806112,1.152453834
2018/8/8,1.236206221,1.225594938,1.152303458
2018/8/9,1.236415894,1.225312252,1.152378137
2018/8/10,1.229092885,1.220253372,1.146794531
2018/8/13,1.226114687,1.217820183,1.14164034
2018/8/14,1.230548806,1.221444162,1.143816898
2018/8/15,1.221544022,1.214810431,1.137931416
2018/8/16,1.225384111,1.219194485,1.141575524
2018/8/17,1.226838693,1.221955072,1.143601451
2018/8/20,1.22923613,1.223996531,1.147642556
2018/8/21,1.231220742,1.226587123,1.149538418
2018/8/22,1.232690636,1.227920532,1.151490352
2018/8/23,1.229231992,1.225914679,1.149665301
2018/8/24,1.235578329,1.231010292,1.152934378
2018/8/27,1.24199621,1.236183729,1.158608035
2018/8/28,1.240740353,1.235610338,1.15847814
2018/8/29,1.244152408,1.239556756,1.160638278
2018/8/30,1.239260898,1.236542002,1.157870658
2018/8/31,1.240259578,1.236497718,1.156342551
2018/9/4,1.23613553,1.233551728,1.150545134
2018/9/5,1.23221886,1.229915737,1.146674268
2018/9/6,1.231139195,1.227832971,1.145012976
2018/9/7,1.228643955,1.224603986,1.141897735
2018/9/10,1.228794833,1.227121329,1.142794025
2018/9/11,1.229438331,1.229020022,1.142548798
2018/9/12,1.230997269,1.229872404,1.144574386
2018/9/13,1.234973119,1.233930825,1.148286893
