,SmartXray Onshore-Growth,Benchmark-Growth
2018/7/5,1.152947221,0.885719769
2018/7/6,1.156596131,0.887965061
2018/7/9,1.177876666,0.899215854
2018/7/10,1.180643271,0.90118521
2018/7/11,1.172780634,0.892906592
2018/7/12,1.18840945,0.903342291
2018/7/13,1.196593865,0.902616047
2018/7/16,1.195235744,0.900014364
2018/7/17,1.189631633,0.897449756
2018/7/18,1.185009286,0.895768749
2018/7/19,1.182834659,0.893674352
2018/7/20,1.191941716,0.903170515
2018/7/23,1.187975305,0.908217751
2018/7/24,1.197999849,0.91540656
2018/7/25,1.200582524,0.914931382
2018/7/26,1.191504814,0.911425721
2018/7/27,1.188428089,0.910270414
2018/7/30,1.181793757,0.909956369
2018/7/31,1.182875483,0.911722445
2018/8/1,1.169842545,0.903509693
2018/8/2,1.15766336,0.894107795
2018/8/3,1.143173309,0.889892181
2018/8/6,1.130857347,0.884206971
2018/8/7,1.149152397,0.896888491
2018/8/8,1.135900379,0.890449612
2018/8/9,1.155464662,0.898083976
2018/8/10,1.159757166,0.897843336
2018/8/13,1.159109232,0.895366555
2018/8/14,1.155921729,0.894562821
2018/8/15,1.138360281,0.884731955
2018/8/16,1.133038552,0.881483988
2018/8/17,1.120193198,0.874600202
2018/8/20,1.124278638,0.878744577
2018/8/21,1.14098464,0.884550182
2018/8/22,1.136681294,0.881237354
2018/8/23,1.139214137,0.883177815
2018/8/24,1.13991166,0.884407514
2018/8/27,1.160595191,0.893056493
2018/8/28,1.159039721,0.892449127
2018/8/29,1.155063808,0.891041691
2018/8/30,1.147664579,0.885995555
2018/8/31,1.139631784,0.884278088
2018/9/3,1.137359575,0.883440212
2018/9/4,1.143434167,0.888151248
2018/9/5,1.13033513,0.880223982
2018/9/6,1.122680446,0.878008024
2018/9/7,1.128443219,0.87970803
2018/9/10,1.119450209,0.873952681
2018/9/11,1.118757726,0.872644222
2018/9/12,1.111022844,0.871090025
2018/9/13,1.113902105,0.876397163
2018/9/14,1.114996654,0.875802162
2018/9/17,1.107775679,0.871078831
2018/9/18,1.120625188,0.879378274
2018/9/19,1.131178028,0.884452789
2018/9/20,1.130011025,0.883928865
2018/9/21,1.147760192,0.895478031
2018/9/25,1.143176547,0.893071769
2018/9/26,1.152290798,0.897650442
2018/9/27,1.150551303,0.895519197
2018/9/28,1.15736496,0.900911805
2018/10/8,1.127652289,0.883658046
2018/10/9,1.12738841,0.884642556
2018/10/10,1.122468356,0.885509526
2018/10/11,1.094907807,0.861899871
2018/10/12,1.104767124,0.866161313
2018/10/15,1.095449054,0.859670376
2018/10/16,1.088589617,0.856067935
2018/10/17,1.089747297,0.858743048
2018/10/18,1.074807713,0.846337625
2018/10/19,1.095443886,0.85745261
2018/10/22,1.122166552,0.875178083
2018/10/23,1.103812827,0.865076277
2018/10/24,1.098962989,0.866857776
2018/10/25,1.096267055,0.867400363
2018/10/26,1.090611514,0.866748383
2018/10/29,1.070055854,0.857595584
2018/10/30,1.074701713,0.86230638
2018/10/31,1.086803456,0.868322641
2018/11/1,1.092584631,0.869099714
2018/11/2,1.118934994,0.880780169
2018/11/5,1.112294084,0.879084642
2018/11/6,1.108551414,0.878196223
2018/11/7,1.10637853,0.875603888
2018/11/8,1.104552444,0.875151108
2018/11/9,1.098403102,0.869134433
2018/11/12,1.106878114,0.874745525
2018/11/13,1.114685821,0.879088756
2018/11/14,1.109522349,0.876322988
2018/11/15,1.116219042,0.882975387
2018/11/16,1.118443668,0.886022192
2018/11/19,1.122987598,0.890722992
2018/11/20,1.109303751,0.880775402
2018/11/21,1.113216687,0.881603861
2018/11/22,1.111992382,0.880598692
2018/11/23,1.099242974,0.869292823
2018/11/26,1.098652567,0.868690157
2018/11/27,1.097653586,0.868350096
2018/11/28,1.106245184,0.873198601
2018/11/29,1.100072997,0.867735092
2018/11/30,1.107968778,0.871482683
2018/12/3,1.128208187,0.882974923
2018/12/4,1.129932358,0.885605152
2018/12/5,1.130108157,0.883672402
2018/12/6,1.112971877,0.876532295
2018/12/7,1.109159992,0.876945335
2018/12/10,1.104668716,0.874230202
2018/12/11,1.108644879,0.876026504
2018/12/12,1.109982769,0.87758954
2018/12/13,1.120525119,0.882603335
2018/12/14,1.107094718,0.875013176
2018/12/17,1.101849316,0.875523366
2018/12/18,1.096209913,0.871506901
2018/12/19,1.086427249,0.867200075
2018/12/20,1.083012441,0.865515247
2018/12/21,1.075364465,0.862364175
2018/12/24,1.082001701,0.864152999
