,SmartXray Offshore-Growth,Benchmark Offshore-Growth
2018/8/16,1.427340723,1.197922436
2018/8/17,1.427920936,1.200993878
2018/8/20,1.431634857,1.204621824
2018/8/21,1.437922244,1.207854022
2018/8/22,1.438143398,1.210256161
2018/8/23,1.436715404,1.20684307
2018/8/24,1.439687812,1.2118348
2018/8/27,1.449830847,1.218570567
2018/8/28,1.451220471,1.219690637
2018/8/29,1.451589486,1.222031743
2018/8/30,1.446599913,1.218912042
2018/8/31,1.444257457,1.216879789
2018/9/3,1.445637813,1.215777041
2018/9/4,1.441526892,1.210219798
2018/9/5,1.434714844,1.207167773
2018/9/6,1.435036112,1.205111629
2018/9/7,1.433797694,1.201354937
2018/9/10,1.434855199,1.203566934
2018/9/11,1.430816536,1.204400528
2018/9/12,1.432853095,1.207269716
2018/9/13,1.43806217,1.211186093
2018/9/14,1.43972638,1.211901616
2018/9/17,1.439590157,1.210188906
2018/9/18,1.44299632,1.213754952
2018/9/19,1.446006568,1.214922467
2018/9/20,1.451184283,1.222551327
2018/9/21,1.457053852,1.224225493
2018/9/24,1.45419931,1.221518404
2018/9/26,1.452882551,1.219712851
2018/9/27,1.450946772,1.218681205
2018/9/28,1.447348107,1.216227658
2018/10/2,1.448624685,1.215260117
2018/10/3,1.45517706,1.213677049
2018/10/4,1.446527844,1.20586399
2018/10/5,1.441503237,1.199992041
2018/10/8,1.437993874,1.19711078
2018/10/9,1.437207152,1.195446204
2018/10/10,1.433354928,1.178384013
2018/10/11,1.411864078,1.163963357
2018/10/12,1.417906228,1.170766107
2018/10/15,1.416824412,1.168144354
2018/10/16,1.425069948,1.181334405
2018/10/18,1.426790785,1.170095809
2018/10/19,1.423219369,1.168956381
2018/10/22,1.423093231,1.165353716
2018/10/23,1.407782875,1.159023254
2018/10/24,1.403372549,1.142331875
2018/10/25,1.392002823,1.148457594
2018/10/26,1.386417804,1.141101622
2018/10/29,1.390869247,1.138231836
2018/10/30,1.38732493,1.144944773
2018/10/31,1.395991957,1.152978214
2018/11/1,1.399161644,1.161053217
2018/11/2,1.418630698,1.15844375
2018/11/5,1.414677922,1.160375128
2018/11/6,1.413817608,1.163932979
2018/11/7,1.424720097,1.177020305
2018/11/8,1.424210848,1.175211598
2018/11/9,1.419755612,1.167834954
2018/11/12,1.411009339,1.154130033
2018/11/13,1.405091276,1.153862441
2018/11/14,1.402694432,1.15018275
2018/11/15,1.395182038,1.154617107
2018/11/16,1.401036126,1.158195046
2018/11/19,1.402470361,1.151039763
2018/11/20,1.388072775,1.13846833
2018/11/21,1.384892535,1.140861081
2018/11/22,1.386894519,1.140988109
2018/11/23,1.385682792,1.137479484
2018/11/26,1.388117835,1.145635409
2018/11/27,1.385909252,1.145270628
2018/11/28,1.386980655,1.155679401
2018/11/29,1.396333922,1.159741283
2018/11/30,1.394405988,1.16129514
2018/12/3,1.405636654,1.171407563
2018/12/4,1.405328598,1.154953621
2018/12/5,1.391178866,1.151611205
2018/12/6,1.376735047,1.146610626
2018/12/7,1.38328787,1.137535636
2018/12/10,1.367962222,1.132712745
2018/12/11,1.369876048,1.132337201
