,open,high,low,close
2018-12-31 08:00:00 UTC,7.0,7.07,6.83,6.92
2019-01-01 08:00:00 UTC,7.0,7.07,6.83,6.92
2019-01-02 08:00:00 UTC,7.0,7.1,6.76,6.79
2019-01-03 08:00:00 UTC,6.7,6.79,6.23,6.33
2019-01-04 08:00:00 UTC,6.28,6.62,6.26,6.56
2019-01-05 08:00:00 UTC,6.28,6.62,6.26,6.56
2019-01-06 08:00:00 UTC,6.28,6.62,6.26,6.56
2019-01-07 08:00:00 UTC,6.61,7.02,6.52,6.88
2019-01-08 08:00:00 UTC,6.84,7.12,6.74,6.9
2019-01-09 08:00:00 UTC,7.03,7.59,6.83,7.59
2019-01-10 08:00:00 UTC,7.88,8.18,7.51,7.51
2019-01-11 08:00:00 UTC,7.4,7.65,7.28,7.33
2019-01-12 08:00:00 UTC,7.4,7.65,7.28,7.33
2019-01-13 08:00:00 UTC,7.4,7.65,7.28,7.33
2019-01-14 08:00:00 UTC,7.43,7.89,7.39,7.69
2019-01-15 08:00:00 UTC,7.58,7.6,7.24,7.45
2019-01-16 08:00:00 UTC,7.65,7.75,7.28,7.33
2019-01-17 08:00:00 UTC,7.18,7.65,7.01,7.48
2019-01-18 08:00:00 UTC,7.35,7.42,6.8,6.91
2019-01-19 08:00:00 UTC,7.35,7.42,6.8,6.91
2019-01-20 08:00:00 UTC,7.35,7.42,6.8,6.91
2019-01-21 08:00:00 UTC,6.89,7.07,6.84,6.95
2019-01-22 08:00:00 UTC,7.06,7.23,7.0,7.04
2019-01-23 08:00:00 UTC,6.97,7.11,6.74,6.99
2019-01-24 08:00:00 UTC,7.07,7.07,6.62,6.76
2019-01-25 08:00:00 UTC,6.67,6.76,6.52,6.59
2019-01-26 08:00:00 UTC,6.67,6.76,6.52,6.59
2019-01-27 08:00:00 UTC,6.67,6.76,6.52,6.59
2019-01-28 08:00:00 UTC,6.65,6.73,6.57,6.59
2019-01-29 08:00:00 UTC,6.52,6.52,5.93,6.15
2019-01-30 08:00:00 UTC,6.13,6.35,6.13,6.16
2019-01-31 08:00:00 UTC,6.29,6.29,5.65,5.72
2019-02-01 08:00:00 UTC,5.79,6.07,5.76,6.03
2019-02-02 08:00:00 UTC,5.79,6.07,5.76,6.03
