,25%,50%,75%,count,diff_stat_p,end,freq_day,max,mean,min,missing_pct,raw_stat_p,start,std
GCNY10YR Index,3.2184999999999997,3.53,3.89,3115.0,,2019-10-23,1.6865767501605653,4.7,3.569332584269657,2.656,0.0,0.03632229355022439,2005-06-06,0.4645692265906347
GCNY2YR Index,2.21,2.799,3.34,2666.0,2.6838193809887576e-14,2019-10-23,1.9699812382739212,4.43,2.7635727681920534,1.17,0.0,0.09923473834344271,2005-06-08,0.7509231532803142
GECU10YR Index,1.6035000000000001,3.89,5.0375,6939.0,0.0,2019-10-23,1.4107812049582011,8.816,3.616096843925642,-0.7140000000000001,0.0,0.6428207030591093,1993-01-04,2.3089464131106294
GECU2YR Index,0.087,2.483,4.13,6609.0,2.161799872764783e-28,2019-10-23,1.4101089588377724,8.016,2.315834165531847,-0.946,0.0,0.6587522971904277,1994-04-19,2.2169834331164244
GIDN10YR Index,7.3575,8.412500000000001,10.79325,4072.0,3.85459236915183e-21,2019-10-23,1.458364038319823,20.955,9.0629506385069,5.047,0.0,0.19525655225087019,2003-07-22,2.3565002352330597
GIDN2YR Index,6.612,7.53,8.67,3997.0,,2019-10-23,1.5362862862862863,20.14,7.908097823367536,4.184,0.0,0.03522096356214444,2003-01-01,2.187834247465322
GIND10YR Index,7.08,7.769,8.349,5307.0,0.0,2019-10-23,1.4393139841688654,12.26,7.940555869606168,4.953,0.0,0.08796836133021607,1998-11-25,1.5458101609056363
GIND2YR Index,5.984,6.9205000000000005,7.763999999999999,4138.0,1.4131949096533443e-23,2019-10-23,1.660381919265168,10.889000000000001,6.863520299661691,4.3839999999999995,0.0,0.05572296987808857,2001-01-01,1.2099489990584993
GJGB10 Index,0.79525,1.425,2.2687500000000003,7614.0,0.0,2019-10-23,1.429922500985157,8.23,1.9390286314683571,-0.287,0.0,0.09219084106821668,1990-01-02,1.806644756141268
GJGB2 Index,0.078,0.2095,0.787,7464.0,,2019-10-23,1.4259681093394077,8.49,0.8609067524115763,-0.361,0.0,9.399873642420354e-07,1990-09-03,1.5896295457972247
GSGB10YR Index,2.02275,4.2,6.0024999999999995,7562.0,3.741618801641286e-26,2019-10-23,1.4158180134902791,13.68,4.642561756149142,-0.41200000000000003,0.0,0.18126238729425564,1990-07-02,3.273841586493741
GSGB2YR Index,0.753,2.537,4.23,6169.0,,2019-10-23,1.4687094682230868,10.51,2.488918463284168,-0.885,0.0,0.044923482608495935,1995-01-03,2.3768166397868775
GSWISS02 Index,-0.07075,0.8145,2.06175,6214.0,1.0242514122295057e-28,2019-10-23,1.464670851440528,4.941,0.9996593176697816,-1.118,0.0,0.1271525125545066,1994-11-23,1.4173651821307094
GSWISS10 Index,0.72225,2.373,3.242,6594.0,0.0,2019-10-23,1.4227210677991808,5.626,2.126030785562627,-1.12,0.0,0.8700058151025576,1994-02-16,1.5568453965530646
GTNOK10Y Govt,1.65225,2.3105,3.7665,3290.0,0.0,2019-10-23,1.4040741866828823,5.272,2.67191458966565,0.8590000000000001,0.0,0.6743564021756625,2007-03-02,1.1806382143524436
GTNOK2Y Govt,0.639,1.3595000000000002,2.2577499999999997,1534.0,0.0,2019-10-23,3.0032615786040444,5.35,1.752554758800517,0.369,0.0,0.2431771870518727,2007-03-16,1.3591094766083263
GTNZD10Y Govt,3.537,5.627999999999999,6.095,5143.0,0.0,2019-10-23,1.4187086736678336,7.61,4.92659926113163,0.988,0.0,0.9142764968580058,1999-11-02,1.5055760083421925
GTNZD2Y Govt,2.448,5.2725,6.162250000000001,3828.0,0.0,2019-10-23,1.9061928403449178,7.836,4.431149947753389,0.688,0.0,0.8762695442871741,1999-11-02,1.9978836021859396
GTPHP10Y Govt,6.2627500000000005,11.652,14.129,2800.0,0.0,2019-10-23,2.771346909610575,21.7,10.567030357142867,2.819,0.0,0.2880368094500336,1998-07-28,4.341598208997134
GTPHP2Y Govt,6.6955,9.606,11.6775,3046.0,1.3430591488956684e-20,2019-10-23,2.5474548440065683,20.187,9.322646421536495,1.834,0.0,0.0549014425746383,1998-07-28,3.4608775674690064
GUKG10 Index,2.642,4.6530000000000005,6.614,7737.0,7.96019319954277e-27,2019-10-23,1.4073164426059979,12.84,4.870046271164546,0.406,0.0,0.4170040174856447,1990-01-01,2.7365512786917345
GUKG2 Index,0.705,4.3870000000000005,5.92425,7212.0,1.0869772764513202e-24,2019-10-23,1.4084038274857855,10.55,3.686348169717139,0.043,0.0,0.36164640689578575,1992-01-02,2.7075718725161546
GVSK10YR Index,2.72,4.48,5.34,4660.0,5.358212963964895e-23,2019-10-23,1.4771410173857051,7.9079999999999995,4.184738626609433,1.17,0.0,0.664215060801213,2000-12-19,1.5620612759571446
GVSK2YR Index,2.151,3.58,4.912,4764.0,1.5461052395278557e-19,2019-10-23,1.4730212051228218,7.907,3.667478169605374,1.112,0.0,0.12144251453871219,2000-08-07,1.5408127289791225
GVTL10YR Index,2.813,3.736,4.754,4489.0,2.1843325403020729e-29,2019-10-22,1.5630570409982174,6.7170000000000005,3.836924927600801,1.416,0.0,0.13846667745159846,2000-08-07,1.156376721889515
GVTL2YR Index,1.7,2.4345,3.1464999999999996,4486.0,2.701766522800221e-25,2019-10-22,1.564102564102564,5.36,2.570697280428004,1.127,0.0,0.23027183614718993,2000-08-07,0.9999504697774826
IHNI1M Curncy,4.36,6.89,10.05,3688.0,,2019-10-23,1.55682126390019,118.5,8.368318872017355,-40.56,0.0,2.829134741368369e-08,2004-02-04,9.628744876806767
IHNI3M Curncy,4.63,6.3149999999999995,8.54,2626.0,,2019-10-23,1.5017142857142858,45.49,7.253648134044184,-7.91,0.0,6.062645205686667e-08,2009-01-06,4.467377816204324
IMM3CNCN Index,-15746.5,740.5,20164.0,1398.0,,2019-10-15,7.0,111881.0,2031.741773962804,-99109.0,0.0,9.631484549804777e-09,1993-01-05,30179.14158938488
IMM4SNCN Index,-16032.0,-6234.0,6273.0,1409.0,,2019-10-15,7.009943181818182,44644.0,-6422.033356990773,-79331.0,0.0,1.6752711054696078e-13,1992-10-06,16988.801751151776
IMM5JNCN Index,-45551.0,-13672.0,11169.0,1411.0,,2019-10-15,7.0,71870.0,-18897.654145995748,-188077.0,0.0,0.0006794220006170528,1992-10-06,45239.51583081477
IMM5PNCN Index,-21259.5,-3410.0,10626.0,1411.0,,2019-10-15,7.0,98366.0,-6452.843373493976,-107844.0,0.0,0.0031330889610425836,1992-10-06,30931.68666814732
IMM6ANCN Index,-3083.5,3545.0,29276.5,1371.0,,2019-10-15,7.137956204379562,103376.0,9934.22684172137,-76851.0,0.0,0.013153521800591204,1993-01-05,32774.97420999782
IMM6ZNCN Index,-1374.0,5700.0,13897.5,739.0,,2019-10-15,7.863143631436315,35981.0,4912.507442489851,-42474.0,0.0,0.00072746055599533,2003-11-25,12484.0257488512
IMMBENCN Index,-44010.0,3884.0,27848.0,1085.0,,2019-10-15,7.0,151476.0,-9300.795391705069,-226560.0,0.0,0.01438134421168478,1999-01-05,67663.83577373457
IMMOANCN Index,-3920.0,5620.0,31672.0,1257.0,,2019-10-15,7.1449044585987265,104085.0,10690.369928400954,-79077.0,0.0,0.02030597240769072,1995-03-21,34066.49962184051
IMMOCNCN Index,-16200.5,1925.0,22651.0,1283.0,,2019-10-15,7.0,113628.0,2671.6539360872953,-99736.0,0.0,1.8480301304580284e-06,1995-03-21,31551.26967883551
IMMOJNCN Index,-53001.5,-17014.0,11710.5,1283.0,,2019-10-15,7.0,70342.0,-21182.48090413094,-194116.0,0.0,0.0019304022626244303,1995-03-21,47069.63141577007
IMMOPNCN Index,-24787.5,-3228.0,11664.0,1283.0,,2019-10-15,7.0,99809.0,-6595.141075604053,-113271.0,0.0,0.0043615533456816775,1995-03-21,32151.192958598742
IMMPFNCN Index,-41746.0,3405.0,26720.0,1085.0,,2019-10-15,7.0,147318.0,-9423.144700460829,-225776.0,0.0,0.013136071512638788,1999-01-05,66868.97700870188
IMMTZNCN Index,-1366.5,5700.0,13897.5,739.0,,2019-10-15,7.863143631436315,35981.0,4913.140730717186,-42544.0,0.0,0.0007128123812489252,2003-11-25,12483.174845855545
INDIA CDS USD SR 5Y D14 Corp,61.84425,65.57499999999999,71.89499999999998,300.0,3.1952050779957328e-24,2019-10-23,1.4013377926421404,94.8,67.35158000000001,54.113,0.0,0.281130499276507,2018-08-30,9.86259219642805
INDON CDS USD SR 5Y D14 Corp,133.763,161.365,209.70350000000002,3396.0,,2019-10-23,1.6179675994108984,1248.35,189.78428003533622,75.381,0.0,0.021364540355658424,2004-10-08,115.98463942766763
IRNI1M Curncy,5.39,6.91,8.96,4229.0,,2019-10-23,1.8025070955534532,28.8,7.351331283991488,-6.19,0.0,0.000600859447605081,1998-12-11,3.4969670736928213
IRNI3M Curncy,5.47,6.82,8.5,4253.0,,2019-10-23,1.7923330197554093,19.62,7.223889019515632,-0.14,0.0,0.005107653602358137,1998-12-11,2.981607348231095
JCI Index,471.67825,939.5710000000001,4029.329,7256.0,8.372419206018402e-25,2019-10-23,1.5003445899379737,6689.286999999999,2124.60427232635,224.706,0.0,0.9891313172788964,1990-01-03,2036.2905724189186
