Date,000016.SH,000905.SH,CBA00101.CS,CCFI.WI,CCCI.FMM,H11025.CSI,885009.WI
2002-11-08,,,102.7903,348.5996,,,
2002-11-11,,,102.8042,348.6055,,,
2002-11-12,,,102.864,350.9293,,,
2002-11-13,,,102.9062,349.8708,,,
2002-11-14,,,102.8472,350.9634,,,
2002-11-15,,,102.8022,351.8894,,,
2002-11-18,,,102.8866,355.0855,,,
2002-11-19,,,102.8963,355.4032,,,
2002-11-20,,,102.841,357.9325,,,
2002-11-21,,,103.0473,359.2094,,,
2002-11-22,,,103.0446,360.8842,,,
2002-11-25,,,103.2137,358.6943,,,
2002-11-26,,,103.2381,357.774,,,
2002-11-27,,,103.1992,356.4478,,,
2002-11-28,,,103.1711,363.8039,,,
2002-11-29,,,102.9823,366.7481,,,
2002-12-02,,,102.9293,370.415,,,
2002-12-03,,,103.008,367.7514,,,
2002-12-04,,,103.2339,372.2015,,,
2002-12-05,,,103.086,367.7109,,,
2002-12-06,,,103.1455,363.6063,,,
2002-12-09,,,103.089,362.5908,,,
2002-12-10,,,103.1898,362.3024,,,
2002-12-11,,,103.1904,362.8353,,,
2002-12-12,,,103.0547,364.127,,,
2002-12-13,,,103.1569,363.8463,,,
2002-12-16,,,103.2413,362.1504,,,
2002-12-17,,,103.2885,360.7721,,,
2002-12-18,,,103.5821,361.9062,,,
2002-12-19,,,103.2662,360.9692,,,
2002-12-20,,,103.3477,359.57,,,
2002-12-23,,,103.3102,363.1018,,,
