MSCI Index Code,BBG Ticker,Bloomberg Index Name,Size,Style,Variant,Currency,Extra Info
105822,MVLDSZ,MSCI Value Switzerland Local,Standard,Value,Price,Local,
105822,MVUDSZ,MSCI Value Switzerland USD,Standard,Value,Price,USD,
105822,NDLVSZ,MSCI Daily TR Net Value Switzerland Local,Standard,Value,Net,Local,
105822,NDUVSZ,MSCI Daily TR Net Value Switzerland USD,Standard,Value,Net,USD,
105823,GDLGUK,MSCI Daily TR Gross Growth UK Local,Standard,Growth,Gross,Local,
105823,GDUGUK,MSCI Daily TR Gross Growth UK USD,Standard,Growth,Gross,USD,
105823,MGLDUK,MSCI Growth UK Local,Standard,Growth,Price,Local,
105823,MGUDUK,MSCI Growth UK USD,Standard,Growth,Price,USD,
105823,NDUGUK,MSCI Daily TR Net Growth UK USD,Standard,Growth,Net,USD,
105823,NLDGUK,MSCI Daily TR Net Growth UK Local,Standard,Growth,Net,Local,
105824,GDLVUK,MSCI Daily TR Gross Value UK Local,Standard,Value,Gross,Local,
105824,GDUVUK,MSCI Daily TR Gross Value UK USD,Standard,Value,Gross,USD,
105824,MVLDUK,MSCI Value UK Local,Standard,Value,Price,Local,
105824,MVUDUK,MSCI Value UK USD,Standard,Value,Price,USD,
105824,NDLVUK,MSCI Daily TR Net Value UK Local,Standard,Value,Net,Local,
105824,NDUVUK,MSCI Daily TR Net Value UK USD,Standard,Value,Net,USD,
105825,GDLGUS,MSCI Daily TR Gross Growth USA Local,Standard,Growth,Gross,Local,
105825,GDUGUS,MSCI Daily TR Gross Growth USA USD,Standard,Growth,Gross,USD,
105825,MGLDUS,MSCI Growth USA Local,Standard,Growth,Price,Local,
105825,MGUDUS,MSCI Growth USA USD,Standard,Growth,Price,USD,
105825,NDUGUS,MSCI Daily TR Net Growth USA USD,Standard,Growth,Net,USD,
105825,NLDGUS,MSCI Daily TR Net Growth USA Local,Standard,Growth,Net,Local,
105826,GDLVUS,MSCI Daily TR Gross Value USA Local,Standard,Value,Gross,Local,
105826,GDUVUS,MSCI Daily TR Gross Value USA USD,Standard,Value,Gross,USD,
105826,MVLDUS,MSCI Value USA Local,Standard,Value,Price,Local,
105826,MVUDUS,MSCI Value USA USD,Standard,Value,Price,USD,
105826,NDLVUS,MSCI Daily TR Net Value USA Local,Standard,Value,Net,Local,
105826,NDUVUS,MSCI Daily TR Net Value USA USD,Standard,Value,Net,USD,
105827,GDLGEC,MSCI Daily TR Gross Growth EAFE & Canada Local,Standard,Growth,Gross,Local,
105827,GDUGEC,MSCI Daily TR Gross Growth EAFE & Canada USD,Standard,Growth,Gross,USD,
