,SmartGlobal Max-Growth,Benchmark-Growth
2018/12/5,1.244366911,1.180454826
2018/12/6,1.240385562,1.173075484
2018/12/7,1.227133759,1.165409524
2018/12/10,1.223179551,1.159635394
2018/12/11,1.22621266,1.160193366
2018/12/12,1.234189237,1.168460289
2018/12/13,1.233775182,1.168631002
2018/12/14,1.22138321,1.157139369
2018/12/17,1.211271783,1.147967583
2018/12/18,1.213167548,1.146465492
2018/12/19,1.201924219,1.142698364
2018/12/20,1.195723705,1.131152641
2018/12/21,1.182400008,1.12135583
2018/12/24,1.170439489,1.110890856
2018/12/26,1.19524113,1.125808998
2018/12/27,1.198641689,1.130881095
2018/12/28,1.201327931,1.134816915
2018/12/31,1.205404405,1.140551777
2019/1/1,1.205404405,1.140583492
2019/1/2,1.205629585,1.139277151
2019/1/3,1.194785762,1.131585435
2019/1/4,1.218139614,1.148231157
2019/1/7,1.2235628,1.15453481
2019/1/8,1.229642613,1.159213063
2019/1/9,1.236987673,1.166047945
2019/1/10,1.240078313,1.168437167
2019/1/11,1.238362753,1.169201639
